fecha_scraping,titulo,autor,precio_actual,precio_anterior,url_producto,categoria,categorias_join,url_norm,isbn,sku,editorial,edicion,anio_edicion,paginas,product_id,product_id_stable,product_key,vendor
2025-10-20,12 Reglas para Vivir. Un Antídoto al Caos,"Peterson, Jordan B.",51.92,64.9,https://www.crisol.com.pe/12-reglas-para-vivir-un-antidoto-al-caos-9786125027047,No Ficcion / Humanidades,No Ficcion / Humanidades | No Ficcion / Humanidades / Filosofia,https://www.crisol.com.pe/12-reglas-para-vivir-un-antidoto-al-caos-9786125027047,9786125027047,"Peterson, Jordan B.",BOOKET,20210,20210,512,444147,ab6a2d20a6a448b8b342607b9c1c460108b88313,9786125027047,crisol
2025-10-20,2025 Family Desk Pad and Wall Calendar,,49.01,,https://www.crisol.com.pe/2025-family-desk-pad-and-wall-calendar-9781441342379,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/2025-family-desk-pad-and-wall-calendar-9781441342379,9781441342379,,PETER PAUPER PRESS,,,,1188571,0da9a97ae70824111856e999a8df81180531c3d7,9781441342379,crisol
2025-10-20,24 Colores Súper Intensos & Sacapuntas Artesco,,14.9,,https://www.crisol.com.pe/24-colores-super-intensos-&-sacapuntas-artesco-7750082003620,Smart Play / Complementos / Utiles De Escritorio,Smart Play / Complementos / Utiles De Escritorio,https://www.crisol.com.pe/24-colores-super-intensos-&-sacapuntas-artesco-7750082003620,7750082003620,,ARTESCO,,,,1127955,55591cc9fa3221bb4c3dc4d6d0afaf5a6faa8541,7750082003620,crisol
2025-10-20,24 Poetas Latinoamericanos,AA. VV.,43.2,54.0,https://www.crisol.com.pe/24-poetas-latinoamericanos-9786123050610,Ficcion / Lirica Y Drama,Ficcion / Lirica Y Drama | Ficcion / Lirica Y Drama / Poesia,https://www.crisol.com.pe/24-poetas-latinoamericanos-9786123050610,9786123050610,AA. VV.,COEDICIÓN LATINOAMERICANA,20090,20090,256,445827,ed4b010d071553057be4213adbd6cf28667161f2,9786123050610,crisol
2025-10-20,Abril rojo,"Roncagliolo, Santiago",55.92,69.9,https://www.crisol.com.pe/abril-rojo-9786124379550,Ficcion / Narrativa,Ficcion / Narrativa | Ficcion / Narrativa / Literatura Peruana,https://www.crisol.com.pe/abril-rojo-9786124379550,9786124379550,"Roncagliolo, Santiago",SEIX BARRAL,2022,2022,400,355611,05afe80dc582a0a14389a68c582f78417d53aa73,9786124379550,crisol
2025-10-20,Acerca de comer carne. Los animales utilizan la razón,Plutarco,28.8,36.0,https://www.crisol.com.pe/acerca-de-comer-carne-los-animales-utilizan-la-razon--9788497169073,No Ficcion / Humanidades,No Ficcion / Humanidades | No Ficcion / Humanidades / Filosofia,https://www.crisol.com.pe/acerca-de-comer-carne-los-animales-utilizan-la-razon--9788497169073,9788497169073,Plutarco,JOSE J. DE OLAÑETA,20140,20140,80,449730,d0daebb036263fb758cd09a06460a0d63aff16f4,9788497169073,crisol
2025-10-20,Agenda 2026 2 días por página Hope,,39.9,,https://www.crisol.com.pe/agenda-2026-2-dias-por-pagina-hope-7799133028328,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-2-dias-por-pagina-hope-7799133028328,7799133028328,,MOOVING,,,,1210843,25ed8661066df2236a524ae06e47f4b55377fb8d,7799133028328,crisol
2025-10-20,Agenda 2026 2 días por página Pastel,,39.9,,https://www.crisol.com.pe/agenda-2026-2-dias-por-pagina-pastel-7799133028359,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-2-dias-por-pagina-pastel-7799133028359,7799133028359,,MOOVING,,,,1210846,2606772821c24bdcf90c10229d7d73af6843fd9b,7799133028359,crisol
2025-10-20,Agenda 2026 Atenas Clásica Azul,,27.9,,https://www.crisol.com.pe/agenda-2026-atenas-clasica-azul-7750082155770,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-atenas-clasica-azul-7750082155770,7750082155770,,ARTESCO,,,,1210410,f02edc11567a9c98daf4448bd57917c4b1d45b96,7750082155770,crisol
2025-10-20,Agenda 2026 Atenas Clásica Cuero,,27.9,,https://www.crisol.com.pe/agenda-2026-atenas-clasica-cuero-7750082155787,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-atenas-clasica-cuero-7750082155787,7750082155787,,ARTESCO,,,,1210416,0a943be4ba65884062d85fa5a3c3db9fe14d0781,7750082155787,crisol
2025-10-20,Agenda 2026 Atenas Clásica Guinda,,27.9,,https://www.crisol.com.pe/agenda-2026-atenas-clasica-guinda-7750082155794,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-atenas-clasica-guinda-7750082155794,7750082155794,,ARTESCO,,,,1210413,e2d0f2b2e97b37eb59c951b53a61e68cb4a8079f,7750082155794,crisol
2025-10-20,Agenda 2026 Atenas Clásica Negro,,27.9,,https://www.crisol.com.pe/agenda-2026-atenas-clasica-negro-7750082155763,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-atenas-clasica-negro-7750082155763,7750082155763,,ARTESCO,,,,1210407,34c699c72b2f861b23160b41c710a3d218017fb5,7750082155763,crisol
2025-10-20,Agenda 2026 Bicolor Azul,,34.9,,https://www.crisol.com.pe/agenda-2026-bicolor-azul-7750082155879,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-bicolor-azul-7750082155879,7750082155879,,ARTESCO,,,,1210437,840be269360332aae5c0e6715d78050194c5c777,7750082155879,crisol
